"County,Duchy,Kingdom,Empire,Religion,Culture"
"Middlesex,Essex,England,Britannia,Catholicism,Anglo-Saxon"
"Essex,Essex,England,Britannia,Catholicism,Anglo-Saxon"
"Bedford,Essex,England,Britannia,Catholicism,Anglo-Saxon"
"Hertfordshire,Essex,England,Britannia,Catholicism,Anglo-Saxon"
"Buckinghamshire,Essex,England,Britannia,Catholicism,Anglo-Saxon"
"Northumberland,Northumbria,England,Britannia,Catholicism,Anglo-Saxon"
"Durham,Northumbria,England,Britannia,Catholicism,Anglo-Saxon"
"Cumberland,Northumbria,England,Britannia,Catholicism,Cumbrian"
"Lancashire,Lancaster,England,Britannia,Catholicism,Anglo-Saxon"
"Westmorland,Lancaster,England,Britannia,Catholicism,Anglo-Saxon"
"Cheshire,Lancaster,England,Britannia,Catholicism,Anglo-Saxon"
"Derby,Lancaster,England,Britannia,Catholicism,Anglo-Saxon"
"North Riding,York,England,Britannia,Catholicism,Anglo-Saxon"
"East Riding,York,England,Britannia,Catholicism,Anglo-Saxon"
"West Riding,York,England,Britannia,Catholicism,Anglo-Saxon"
"Lincolnshire,York,England,Britannia,Catholicism,Anglo-Saxon"
"Norfolk,East Anglia,England,Britannia,Catholicism,Anglo-Saxon"
"Suffolk,East Anglia,England,Britannia,Catholicism,Anglo-Saxon"
"Cambridgeshire,East Anglia,England,Britannia,Catholicism,Anglo-Saxon"
"Warwickshire,Mercia,England,Britannia,Catholicism,Anglo-Saxon"
"Leicestershire,Mercia,England,Britannia,Catholicism,Anglo-Saxon"
"Nottinghamshire,Mercia,England,Britannia,Catholicism,Anglo-Saxon"
"Staffordshire,Mercia,England,Britannia,Catholicism,Anglo-Saxon"
"Worcestershire,Mercia,England,Britannia,Catholicism,Anglo-Saxon"
"Huntingdonshire,Mercia,England,Britannia,Catholicism,Anglo-Saxon"
"Northamptonshire,Mercia,England,Britannia,Catholicism,Anglo-Saxon"
"Shropshire,Mercia,England,Britannia,Catholicism,Anglo-Saxon"
"Gloucestershire,Hwicce,England,Britannia,Catholicism,Anglo-Saxon"
"Wiltshire,Hwicce,England,Britannia,Catholicism,Anglo-Saxon"
"Oxfordshire,Hwicce,England,Britannia,Catholicism,Anglo-Saxon"
"Berkshire,Hwicce,England,Britannia,Catholicism,Anglo-Saxon"
"Kent,Kent,England,Britannia,Catholicism,Anglo-Saxon"
"Surrey,Kent,England,Britannia,Catholicism,Anglo-Saxon"
"Sussex,Kent,England,Britannia,Catholicism,Anglo-Saxon"
"Hampshire,Wessex,England,Britannia,Catholicism,Anglo-Saxon"
"Wight,Wessex,England,Britannia,Catholicism,Anglo-Saxon"
"Dorset,Wessex,England,Britannia,Catholicism,Anglo-Saxon"
"Somerset,Wessex,England,Britannia,Catholicism,Anglo-Saxon"
"Devon,Cornwall,England,Britannia,Catholicism,Cornish"
"Cornwall,Cornwall,England,Britannia,Catholicism,Cornish"
"Ceredigion,Gwynedd,Wales,Britannia,Catholicism,Welsh"
"Merioneth,Gwynedd,Wales,Britannia,Catholicism,Welsh"
